experiment,round,train_loss,val_rmse,val_mae,val_nasa_score,val_auroc,val_auprc,val_precision,val_recall,val_f1,val_tn,val_fp,val_fn,val_tp,test_rmse,test_mae,test_nasa_score,test_auroc,test_auprc,test_precision,test_recall,test_f1,test_tn,test_fp,test_fn,test_tp
federated,14,1329.3039401951462,36.079447923991296,30.213138580322266,91044.82284911563,0.978082477887196,0.9138663927728345,0.7022332506203474,0.9129032258064517,0.7938288920056101,2849,240,54,566,42.609682972392704,38.71445083618164,358123.98845498555,0.980304124038734,0.7364265194223614,0.5609195402298851,0.7349397590361446,0.636245110821382,9673,191,88,244
federated,15,1068.9474568546325,32.37644218855837,27.487869262695312,62923.575849154164,0.9782610511805679,0.9138930831324769,0.7236842105263158,0.8870967741935484,0.7971014492753623,2879,210,70,550,37.520620957952076,34.13681411743164,232270.57598611934,0.9806403228485718,0.741041025069675,0.6050632911392405,0.7198795180722891,0.657496561210454,9708,156,93,239
federated,16,861.9034448912153,29.354994434375005,25.067916870117188,50011.62580893969,0.9790990925134975,0.9174099120945398,0.7269129287598944,0.8887096774193548,0.7997097242380261,2882,207,69,551,32.822539386782296,29.8599853515625,164757.47965776757,0.9810846182784666,0.7478075481157896,0.6085858585858586,0.7259036144578314,0.6620879120879121,9709,155,91,241
federated,17,705.9431257855606,26.735283627165806,22.97270965576172,45749.3801730723,0.9801094414102068,0.9198161243028278,0.7240473061760841,0.8887096774193548,0.7979724837074583,2879,210,69,551,28.625818765582935,25.965665817260742,138961.06673412805,0.981529524423729,0.7556131693819332,0.6208651399491094,0.7349397590361446,0.6731034482758621,9715,149,88,244
federated,18,593.4579233302933,24.936091409544446,21.235992431640625,47129.40701726508,0.9821661671487798,0.9245847375820223,0.7625178826895566,0.8596774193548387,0.8081880212282032,2923,166,87,533,25.448466568412208,22.765928268432617,131800.267768655,0.983338157984737,0.7672401520598652,0.6918429003021148,0.6897590361445783,0.6907993966817496,9762,102,103,229
federated,19,515.8926837623442,22.87655150774956,19.291582107543945,52323.31255384968,0.9849199553044622,0.9339497256353495,0.7671809256661991,0.882258064516129,0.8207051762940735,2923,166,73,547,22.845471944761968,19.930906295776367,146407.55350642584,0.9863227239859681,0.790681037282791,0.6927536231884058,0.7198795180722891,0.7060561299852289,9758,106,93,239
federated,20,455.60399635702754,21.37174668567088,17.78815460205078,36967.05448750213,0.9857120479537171,0.9374292930187951,0.741267787839586,0.9241935483870968,0.8226848528356066,2889,200,47,573,21.550382266448967,18.426908493041992,113965.79469549753,0.9880773092369478,0.79648760024831,0.6379310344827587,0.7801204819277109,0.7018970189701897,9717,147,73,259
federated,21,415.653933804821,20.691453077750484,16.78609848022461,36082.29955770106,0.9860770267024509,0.9399443631425082,0.7523056653491436,0.9209677419354839,0.8281363306744017,2901,188,49,571,20.44474827268836,16.989938735961914,98007.62702774578,0.9886370298713099,0.8000709064047996,0.6555269922879178,0.7680722891566265,0.7073509015256588,9730,134,77,255
federated,22,377.85556368970447,19.064713946741865,15.470523834228516,33368.66614918064,0.9852076567215614,0.9371331102757312,0.8228043143297381,0.8612903225806452,0.8416075650118203,2974,115,86,534,19.643826341374485,16.08204460144043,87915.09800044658,0.9880116573349358,0.7943367455002789,0.7535211267605634,0.6445783132530121,0.6948051948051948,9794,70,118,214
federated,23,375.5208743511388,19.648154042438456,15.51990795135498,33032.71565725898,0.9866597395545066,0.9434095701978228,0.7780821917808219,0.9161290322580645,0.8414814814814815,2927,162,52,568,19.522127557094507,15.662174224853516,87630.51528072449,0.9890816306588885,0.8102002947251157,0.6675461741424802,0.7620481927710844,0.7116736990154712,9738,126,79,253
federated,24,358.6387745590194,18.807890774116427,14.92916488647461,35476.990264409804,0.9869155901795131,0.9453300554081643,0.8164179104477612,0.882258064516129,0.8480620155038759,2966,123,73,547,18.88390579814884,15.068775177001953,92498.33547847216,0.9890205591221333,0.8112944373939825,0.740983606557377,0.6807228915662651,0.7095761381475667,9785,79,106,226
federated,25,361.3314251861808,18.839891130331257,14.77687931060791,31177.79148787239,0.9867646905251726,0.944609928504915,0.8200899550224887,0.882258064516129,0.85003885003885,2969,120,73,547,19.376124589338357,15.310373306274414,85837.61046927368,0.9892706470651462,0.8104934109880946,0.7261538461538461,0.7108433734939759,0.7184170471841704,9775,89,96,236
federated,26,350.8965358394985,18.691585438665644,14.495769500732422,31079.707211108096,0.9870017439614032,0.945864334413149,0.8287878787878787,0.882258064516129,0.8546875,2976,113,73,547,19.579083613303222,15.320489883422852,85923.61024950331,0.9892407220121362,0.8131822813237554,0.7389937106918238,0.7078313253012049,0.7230769230769231,9781,83,97,235
federated,27,340.3901622114079,18.6993848077283,14.454107284545898,31957.86513202323,0.987142722877223,0.9467160660769088,0.7988587731811697,0.9032258064516129,0.8478425435276306,2948,141,60,560,19.30231056415875,15.00682258605957,88461.12483614325,0.9890642252709133,0.8140483826620614,0.7017045454545454,0.7439759036144579,0.7222222222222222,9759,105,85,247
federated,28,345.4034561920882,19.08733014004316,14.662466049194336,33363.71245313827,0.9870539583746697,0.9461577206464634,0.7451737451737451,0.9338709677419355,0.8289191123836793,2891,198,41,579,19.446791608319916,15.013875007629395,91729.37149591955,0.9892022469439802,0.81563453574835,0.6374407582938388,0.8102409638554217,0.713527851458886,9711,153,63,269
federated,29,336.01012485146265,18.675731002207034,14.353590965270996,32469.584168302084,0.9872628160277364,0.9479242409917055,0.811046511627907,0.9,0.8532110091743119,2959,130,62,558,19.35563942596293,14.91479778289795,92236.65281896401,0.988876124937707,0.8148855037420679,0.7280966767371602,0.7259036144578314,0.726998491704374,9774,90,91,241
federated,30,335.1628595772976,18.636511196051337,14.326443672180176,35048.70795144655,0.9872617717394709,0.9480270031352767,0.814868804664723,0.9016129032258065,0.8560490045941807,2962,127,61,559,19.05244996343974,14.585134506225586,97171.61681756668,0.9892944649644808,0.8187488374872292,0.729483282674772,0.7228915662650602,0.7261724659606656,9775,89,92,240
