experiment,round,client_id,update_norm,norm_threshold,validation_rmse,base_validation_rmse,validation_auprc,base_validation_auprc,cosine_to_median_update,norm_flag,rmse_flag,auprc_flag,cosine_flag,flagged,fallback_kept_all
poisoned_detection_filter,4,4,2.754467752038462,3.620698638684499,75.91274352113912,78.8058209897911,0.8745035557147176,0.8833312725967527,0.8155208131792621,False,False,False,False,False,False
poisoned_detection_filter,5,0,3.6778797115239503,3.8455650694874834,72.31599089456287,75.4929438445243,0.09098088251434613,0.8787867750561146,-0.3642311199072485,False,False,True,True,True,False
poisoned_detection_filter,5,1,3.6767116961235318,3.8455650694874834,71.9346186162737,75.4929438445243,0.8709383968379567,0.8787867750561146,0.80652786168607,False,False,False,False,False,False
poisoned_detection_filter,5,2,3.5940370325421838,3.8455650694874834,72.1038984242097,75.4929438445243,0.8669413444545859,0.8787867750561146,0.8205634087045334,False,False,False,False,False,False
poisoned_detection_filter,5,3,3.2725957385332323,3.8455650694874834,71.63495922252277,75.4929438445243,0.8733681757135684,0.8787867750561146,0.7964262384985861,False,False,False,False,False,False
poisoned_detection_filter,5,4,3.3206383070479237,3.8455650694874834,72.42085186709868,75.4929438445243,0.8605244933251412,0.8787867750561146,0.8288666142794541,False,False,False,False,False,False
poisoned_detection_filter,6,0,4.936995691679922,4.576379008998399,68.70846401531438,71.99185134552556,0.09096458944813834,0.8697105947633488,0.03237909973987015,True,False,True,False,True,False
poisoned_detection_filter,6,1,3.31993391830551,4.576379008998399,68.1975137296533,71.99185134552556,0.8618316882270833,0.8697105947633488,0.833205132802417,False,False,False,False,False,False
poisoned_detection_filter,6,2,3.332886662216782,4.576379008998399,68.3678833990694,71.99185134552556,0.8645041549605729,0.8697105947633488,0.8461201748471052,False,False,False,False,False,False
poisoned_detection_filter,6,3,3.6437597489121862,4.576379008998399,67.86464728827889,71.99185134552556,0.8596124872515816,0.8697105947633488,0.7970240603272597,False,False,False,False,False,False
poisoned_detection_filter,6,4,3.6840698254882756,4.576379008998399,68.73086736617144,71.99185134552556,0.8431842407983948,0.8697105947633488,0.763937714055772,False,False,False,False,False,False
poisoned_detection_filter,7,0,5.747626671912694,4.159779529711294,65.03309328838857,68.25207471663407,0.12197561946067091,0.8593975717750666,0.4525913225030571,True,False,True,False,True,False
poisoned_detection_filter,7,1,3.160964014226694,4.159779529711294,64.35201728699924,68.25207471663407,0.8667964420668217,0.8593975717750666,0.8586043481264093,False,False,False,False,False,False
poisoned_detection_filter,7,2,3.21002880607166,4.159779529711294,64.6256988900797,68.25207471663407,0.8402458784445326,0.8593975717750666,0.8639709875885623,False,False,False,False,False,False
poisoned_detection_filter,7,3,3.6887979173864855,4.159779529711294,63.96930721545294,68.25207471663407,0.7947130671940282,0.8593975717750666,0.8244034729460626,False,False,False,False,False,False
poisoned_detection_filter,7,4,2.8934452315251153,4.159779529711294,64.80548569806803,68.25207471663407,0.788480959644126,0.8593975717750666,0.7205970948518476,False,False,False,False,False,False
poisoned_detection_filter,8,0,5.433816858119827,2.6240140737210624,61.264698491464074,64.34104080017669,0.14550367584704177,0.8311379617846223,0.4031446039904945,True,False,True,False,True,False
poisoned_detection_filter,8,1,2.262858098519072,2.6240140737210624,60.27977374747582,64.34104080017669,0.9046140071140665,0.8311379617846223,0.6771963946381079,False,False,False,False,False,False
poisoned_detection_filter,8,2,2.142472773451742,2.6240140737210624,60.42898199733614,64.34104080017669,0.8882974857523194,0.8311379617846223,0.5193553287578806,False,False,False,False,False,False
poisoned_detection_filter,8,3,2.435829533569048,2.6240140737210624,59.94262189729337,64.34104080017669,0.8771752898917082,0.8311379617846223,0.7364724829383834,False,False,False,False,False,False
poisoned_detection_filter,8,4,2.2156294006742945,2.6240140737210624,60.90256610844694,64.34104080017669,0.8795880960953847,0.8311379617846223,0.4536807995635646,False,False,False,False,False,False
poisoned_detection_filter,9,0,5.286801309169925,2.4037931017167304,57.56542219102757,60.325789905598214,0.13098306269902615,0.8871765540125611,0.15233594870694245,True,False,True,False,True,False
poisoned_detection_filter,9,1,2.1279394495110795,2.4037931017167304,56.13415588597775,60.325789905598214,0.9025517678309387,0.8871765540125611,0.629973832024818,False,False,False,False,False,False
poisoned_detection_filter,9,2,2.1969028625624922,2.4037931017167304,56.511771537137506,60.325789905598214,0.906777629294914,0.8871765540125611,0.5574364467286593,False,False,False,False,False,False
poisoned_detection_filter,9,3,2.1495219907975387,2.4037931017167304,55.771646582291254,60.325789905598214,0.9092986988498918,0.8871765540125611,0.49213707448597394,False,False,False,False,False,False
poisoned_detection_filter,9,4,2.615750417682252,2.4037931017167304,56.721220676216056,60.325789905598214,0.8976805273200874,0.8871765540125611,0.48522134194143374,True,False,False,False,True,False
poisoned_detection_filter,10,0,5.415211834843445,3.690177736937749,53.801478800249996,56.04305682910239,0.09659972361956966,0.9128318746027575,-0.05772758848098922,True,False,True,True,True,False
poisoned_detection_filter,10,1,2.5323063731129616,3.690177736937749,51.81638961199318,56.04305682910239,0.9193838530572771,0.9128318746027575,0.6341821511097958,False,False,False,False,False,False
poisoned_detection_filter,10,2,2.1463492518380325,3.690177736937749,51.97668638663276,56.04305682910239,0.9149861775382574,0.9128318746027575,0.5443662983840292,False,False,False,False,False,False
poisoned_detection_filter,10,3,2.248764997115418,3.690177736937749,51.354939723305826,56.04305682910239,0.9173787770697257,0.9128318746027575,0.5889488201143179,False,False,False,False,False,False
poisoned_detection_filter,10,4,3.5415463539045215,3.690177736937749,52.4791276403355,56.04305682910239,0.9042051983919631,0.9128318746027575,0.5913395894464596,False,False,False,False,False,False
