experiment,round,train_loss,val_rmse,val_mae,val_nasa_score,val_auroc,val_auprc,val_precision,val_recall,val_f1,val_tn,val_fp,val_fn,val_tp
rq1_variable_sensor_adapter,17,662.6584797031902,27.886177866742962,24.096485137939453,327765.2657865248,0.9573230296891153,0.8233159617658883,0.7451098405055673,0.7987096774193548,0.7709792931651877,14598,847,624,2476
rq1_variable_sensor_adapter,18,538.208046776522,26.324509442025338,22.446043014526367,410803.37411228236,0.9586361908541234,0.8164337739516874,0.7418569254185693,0.7861290322580645,0.7633516053249805,14597,848,663,2437
rq1_variable_sensor_adapter,19,462.29785635304444,26.035670533649,21.480422973632812,551980.7394996353,0.9572518092294197,0.8087179625360631,0.7172714078374456,0.7970967741935484,0.7550802139037434,14471,974,629,2471
rq1_variable_sensor_adapter,20,431.7173920797729,25.555002768614724,20.69675064086914,606454.5482727317,0.9585584331498868,0.8111520776578446,0.750328947368421,0.7358064516129033,0.7429967426710098,14686,759,819,2281
rq1_variable_sensor_adapter,21,416.1975469531267,25.62929413334354,20.398075103759766,676199.3413297281,0.9571144748796457,0.8069386174951662,0.7369766698625759,0.7438709677419355,0.7404077701075614,14622,823,794,2306
rq1_variable_sensor_adapter,22,406.6173365555458,25.467483432847143,20.23061752319336,626381.7991824953,0.9560736954228846,0.8046678688708845,0.7216878684455477,0.7503225806451613,0.7357267120037957,14548,897,774,2326
rq1_variable_sensor_adapter,23,383.9647298219326,25.452586655985847,20.02684783935547,686865.6267976138,0.9560202383065821,0.7990736389406929,0.7343496594226403,0.7303225806451613,0.7323305838589681,14626,819,836,2264
rq1_variable_sensor_adapter,24,367.406159277749,25.71743759941273,19.990341186523438,774440.6307936397,0.9531018285487526,0.7884046896938882,0.7275974025974026,0.7229032258064516,0.7252427184466019,14606,839,859,2241
rq1_variable_sensor_adapter,25,350.6514519233073,25.467896841538565,19.69887351989746,748207.3473372323,0.9533520086884784,0.7874991318661384,0.7344425956738768,0.7119354838709677,0.723013923013923,14647,798,893,2207
rq1_variable_sensor_adapter,26,343.0115093542962,25.414112934164528,19.613948822021484,635333.9173016693,0.9540613414927056,0.7886483648413303,0.7194780987884436,0.7470967741935484,0.7330273777496439,14542,903,784,2316
rq1_variable_sensor_adapter,27,324.3309698614014,25.698707827133546,19.788888931274414,738396.819205388,0.9469572886099479,0.7769046601576103,0.7210861548776399,0.6938709677419355,0.7072168337991123,14613,832,949,2151
rq1_variable_sensor_adapter,28,319.2567150213721,25.69209252209836,19.567354202270508,824143.3901548418,0.946298186071283,0.7755344742765157,0.74241870661308,0.655483870967742,0.6962480726400548,14740,705,1068,2032
rq1_variable_sensor_adapter,29,305.92848265946293,26.532837297924342,19.857833862304688,1221786.4945304142,0.9402532190185778,0.7699752476310232,0.7560975609756098,0.64,0.6932215234102026,14805,640,1116,1984
rq1_variable_sensor_adapter,30,298.9419078307597,26.541267938977477,19.916357040405273,1129348.7730706711,0.9413343184452636,0.7754800947736321,0.7496279761904762,0.65,0.6962681409813407,14772,673,1085,2015
