experiment,round,poisoned,train_loss,test_rmse,test_mae,test_nasa_score,test_auroc,test_auprc,test_precision,test_recall,test_f1,test_tn,test_fp,test_fn,test_tp,near_failure_count,near_failure_rmse,near_failure_fault_recall,healthy_bias
clean_fedavg,19,False,368.0327227110411,20.229852142925054,17.416698455810547,116275.1698733556,0.9898886910171097,0.8240348591689104,0.7368421052631579,0.7590361445783133,0.7477744807121661,9774,90,80,252,332,12.647595405578613,0.7590361445783133,5.354101181030273
clean_fedavg,20,False,322.9973021720605,18.425975443512396,15.415003776550293,119590.59965874693,0.9913657061335366,0.829629519721047,0.8524590163934426,0.6265060240963856,0.7222222222222222,9828,36,124,208,332,12.86453914642334,0.6265060240963856,8.700931549072266
clean_fedavg,21,False,280.26334433643115,17.188088590774043,13.959455490112305,106829.13406735986,0.9930030340339461,0.8511563636431295,0.8521400778210116,0.6596385542168675,0.7436332767402377,9826,38,113,219,332,9.811197280883789,0.6596385542168675,5.422163486480713
clean_fedavg,22,False,244.51919424793178,16.308708364118214,12.712255477905273,104682.37752745366,0.9940614037659152,0.8626226643614778,0.8505747126436781,0.6686746987951807,0.7487352445193929,9825,39,110,222,332,9.006566047668457,0.6686746987951807,5.429571151733398
clean_fedavg,23,False,218.47780419176607,15.447774209488685,11.950675010681152,67582.62828694608,0.9950141197392978,0.8762090804750481,0.8132911392405063,0.7740963855421686,0.7932098765432098,9805,59,75,257,332,6.682826995849609,0.7740963855421686,2.6077916622161865
clean_fedavg,24,False,204.7950169887772,14.830585753897617,11.180648803710938,58044.89917748828,0.9956004064921486,0.8847894702537102,0.8609022556390977,0.6897590361445783,0.7658862876254181,9827,37,103,229,332,6.9438371658325195,0.6897590361445783,4.355863571166992
clean_fedavg,25,False,199.61679487909427,14.75370405854969,10.954873085021973,60335.850070091285,0.9960950859398665,0.8902637043750188,0.8773234200743495,0.7108433734939759,0.7853577371048253,9831,33,96,236,332,6.274123668670654,0.7108433734939759,3.295492172241211
clean_fedavg,26,False,189.3255135527417,14.566748265460513,10.366799354553223,61389.42009528501,0.9963766257243085,0.8962773221816173,0.8439490445859873,0.7981927710843374,0.8204334365325078,9815,49,67,265,332,4.527963161468506,0.7981927710843374,0.7575597167015076
clean_fedavg,27,False,187.40208868367037,14.320397742517708,10.274378776550293,58941.44274090222,0.9966233547327997,0.9085371399498571,0.8601398601398601,0.7409638554216867,0.7961165048543689,9824,40,86,246,332,5.8894500732421875,0.7409638554216867,3.5787339210510254
clean_fedavg,28,False,176.27924882466715,14.298077775567311,10.508294105529785,51468.3095055219,0.9966441190552966,0.9061583900891315,0.8650519031141869,0.7530120481927711,0.8051529790660226,9825,39,82,250,332,5.458940029144287,0.7530120481927711,2.946027994155884
clean_fedavg,29,False,174.8606237981103,14.040609046354724,10.240592956542969,45846.88148972434,0.9970297858099063,0.9176057476581359,0.8585209003215434,0.8042168674698795,0.8304821150855366,9820,44,65,267,332,4.268527507781982,0.8042168674698795,1.488724708557129
clean_fedavg,30,False,174.38289204264893,14.30726387827586,10.56474781036377,49551.30927765064,0.996642286909194,0.9096008317663343,0.8941176470588236,0.6867469879518072,0.7768313458262351,9837,27,104,228,332,6.999190330505371,0.6867469879518072,5.028801918029785
poisoned_fedavg,1,True,7427.408255641155,99.83009491912998,95.30986785888672,45681696.743630074,0.24610409399153793,0.01978628841795267,0.0,0.0,0.0,9864,0,332,0,332,14.24414348602295,0.0,-12.910013198852539
poisoned_fedavg,2,True,6810.054023693199,96.61971403717256,91.94859313964844,35260087.34405211,0.9426287876567095,0.759007498130915,0.0,0.0,0.0,9864,0,332,0,332,11.20740032196045,0.0,-9.442862510681152
poisoned_fedavg,3,True,6320.947468308809,93.17515427945371,88.35558319091797,26673197.508111008,0.9460452821016425,0.7247110538178981,0.0,0.0,0.0,9864,0,332,0,332,8.392934799194336,0.0,-5.872672080993652
poisoned_fedavg,4,True,5816.048679398101,89.46857535784562,84.5024642944336,19726164.76112296,0.9309700786112821,0.7186935129196291,0.0,0.0,0.0,9864,0,332,0,332,6.218865871429443,0.0,-2.2528576850891113
poisoned_fedavg,5,True,5306.220784167342,85.5413140315836,80.44190216064453,14305012.07654956,0.9525738293807835,0.7086017792619045,1.0,0.02710843373493976,0.05278592375366569,9864,0,323,9,332,5.673610687255859,0.02710843373493976,1.444524884223938
poisoned_fedavg,6,True,4791.605555591148,81.38560198792842,76.19017028808594,10159867.607053548,0.8043113756730084,0.6433790361834989,1.0,0.02710843373493976,0.05278592375366569,9864,0,323,9,332,7.761585712432861,0.02710843373493976,5.699790954589844
poisoned_fedavg,7,True,4280.761979781367,77.04668962916253,71.8326644897461,7085682.378655643,0.29196530648140007,0.22127377735104498,0.0,0.0,0.0,9864,0,332,0,332,12.138635635375977,0.0,10.849514961242676
poisoned_fedavg,8,True,3775.533179477221,72.48729683968772,67.2779312133789,4838811.301126524,0.70740077096708,0.5579681778356272,1.0,0.06626506024096386,0.12429378531073447,9864,0,310,22,332,14.702098846435547,0.06626506024096386,14.042350769042969
poisoned_fedavg,9,True,3289.2611505863706,67.74184467174813,62.62737274169922,3237858.2095980584,0.7963427615571776,0.6624482787416064,0.9722222222222222,0.10542168674698796,0.19021739130434784,9863,1,297,35,332,18.13717269897461,0.10542168674698796,17.6403865814209
poisoned_fedavg,10,True,2829.907673347846,62.82044026305252,57.78812789916992,2127931.7858455717,0.9101955266320757,0.7546382754939771,0.9550561797752809,0.2560240963855422,0.40380047505938244,9860,4,247,85,332,18.274377822875977,0.2560240963855422,17.271820068359375
poisoned_fedavg,11,True,2397.3033787725444,57.81396324161772,53.12715148925781,1371956.4182539776,0.9503375423836465,0.7859977735497948,1.0,0.12048192771084337,0.21505376344086022,9864,0,292,40,332,24.756654739379883,0.12048192771084337,24.090539932250977
poisoned_fedavg,12,True,1996.3537404717022,52.6407386278085,48.21075439453125,871248.2205444404,0.9879043241090883,0.8098815708327128,0.9710144927536232,0.20180722891566266,0.3341645885286783,9862,2,265,67,332,23.949684143066406,0.20180722891566266,22.553640365600586
poisoned_fedavg,13,True,1639.3382587352785,47.44864617075497,43.471981048583984,546935.7834767255,0.9852168711341718,0.7985403338546686,1.0,0.12951807228915663,0.22933333333333333,9864,0,289,43,332,27.006187438964844,0.12951807228915663,25.168928146362305
poisoned_fedavg,14,True,1324.1984909687071,42.193555699634096,38.69916915893555,342324.3037017394,0.9863825740919885,0.7968928744081023,0.975609756097561,0.12048192771084337,0.21447721179624665,9863,1,292,40,332,27.18709945678711,0.12048192771084337,24.906330108642578
