experiment,round,client_id,defense,noise_multiplier,original_update_norm,protected_update_norm,was_clipped
update_clipping,4,3,update_clipping,0.0,8.706018239286637,1.0000000149685773,True
update_clipping,4,4,update_clipping,0.0,8.208713495819962,0.9999999978872438,True
update_clipping,5,0,update_clipping,0.0,7.494529017890698,0.9999999323712222,True
update_clipping,5,1,update_clipping,0.0,7.681466825200552,1.0000000207062383,True
update_clipping,5,2,update_clipping,0.0,7.60475589651768,0.9999999808898676,True
update_clipping,5,3,update_clipping,0.0,7.780012912594506,1.0000000723359763,True
update_clipping,5,4,update_clipping,0.0,7.348334984953119,1.000000016865897,True
update_clipping,6,0,update_clipping,0.0,6.658302714494083,1.0000000214642168,True
update_clipping,6,1,update_clipping,0.0,6.810731209600576,1.0000000122750237,True
update_clipping,6,2,update_clipping,0.0,6.744044419577596,1.0000000394621216,True
update_clipping,6,3,update_clipping,0.0,6.895938688214059,0.9999999853021108,True
update_clipping,6,4,update_clipping,0.0,6.533718385736912,1.000000044241232,True
update_clipping,7,0,update_clipping,0.0,5.742854562290425,1.0000000065883654,True
update_clipping,7,1,update_clipping,0.0,5.9883271162228775,1.0000000187710325,True
update_clipping,7,2,update_clipping,0.0,5.900258861936615,1.0000000428110232,True
update_clipping,7,3,update_clipping,0.0,6.001532818130642,0.9999999782590405,True
update_clipping,7,4,update_clipping,0.0,5.774254597552942,1.0000000256077752,True
update_clipping,8,0,update_clipping,0.0,4.950006470086608,1.000000038951952,True
update_clipping,8,1,update_clipping,0.0,5.019930196715671,1.0000000052542077,True
update_clipping,8,2,update_clipping,0.0,5.005565941856821,0.9999999548254824,True
update_clipping,8,3,update_clipping,0.0,5.096360215192152,1.0000000125721016,True
update_clipping,8,4,update_clipping,0.0,4.9447734888533805,0.9999999901139418,True
update_clipping,9,0,update_clipping,0.0,4.122046289195747,0.9999999746409604,True
update_clipping,9,1,update_clipping,0.0,4.257102977211157,1.0000000114350769,True
update_clipping,9,2,update_clipping,0.0,4.179835494801403,1.000000009938205,True
update_clipping,9,3,update_clipping,0.0,4.367724680097415,0.9999999723148104,True
update_clipping,9,4,update_clipping,0.0,4.102940511236677,0.9999999974226874,True
update_clipping,10,0,update_clipping,0.0,3.3943528664722806,0.9999999685018142,True
update_clipping,10,1,update_clipping,0.0,3.474117685708058,0.9999999994537632,True
update_clipping,10,2,update_clipping,0.0,3.4404588347511442,0.9999999320923768,True
update_clipping,10,3,update_clipping,0.0,3.548989745211076,1.0000000039648285,True
update_clipping,10,4,update_clipping,0.0,3.401484041934433,1.000000038043168,True
update_clipping,11,0,update_clipping,0.0,2.8027563435073146,0.9999999639962305,True
update_clipping,11,1,update_clipping,0.0,2.8365711812659886,1.0000000097170982,True
update_clipping,11,2,update_clipping,0.0,2.8333454274851713,0.9999999736530892,True
update_clipping,11,3,update_clipping,0.0,3.063247324292797,0.999999948327249,True
update_clipping,11,4,update_clipping,0.0,2.8289719291677735,1.0000000597987633,True
update_clipping,12,0,update_clipping,0.0,2.5452591732599794,1.0000000036985934,True
update_clipping,12,1,update_clipping,0.0,2.649876224810268,0.9999999744519524,True
update_clipping,12,2,update_clipping,0.0,2.578220072355098,0.9999999812917506,True
update_clipping,12,3,update_clipping,0.0,2.7908588068558275,0.9999999828714293,True
update_clipping,12,4,update_clipping,0.0,2.5647013913478256,1.0000000064905938,True
update_clipping,13,0,update_clipping,0.0,2.504776762365572,1.000000050640152,True
update_clipping,13,1,update_clipping,0.0,2.7433032199751306,0.99999998954695,True
update_clipping,13,2,update_clipping,0.0,2.7719009452792283,1.0000000479571998,True
update_clipping,13,3,update_clipping,0.0,2.992268499784943,0.9999999856419776,True
update_clipping,13,4,update_clipping,0.0,2.52413522437159,0.9999999692631714,True
update_clipping,14,0,update_clipping,0.0,2.9924822602972703,0.9999999593461403,True
update_clipping,14,1,update_clipping,0.0,2.992063166993861,0.9999999959716774,True
update_clipping,14,2,update_clipping,0.0,3.14291552396434,1.0000000165382514,True
update_clipping,14,3,update_clipping,0.0,3.40167797342759,0.9999999241551876,True
update_clipping,14,4,update_clipping,0.0,3.0021694545367086,0.9999999546594144,True
update_clipping,15,0,update_clipping,0.0,2.9568988497307394,1.0000000130459625,True
update_clipping,15,1,update_clipping,0.0,2.879884524105847,1.0000000556286948,True
update_clipping,15,2,update_clipping,0.0,2.9013626055473045,1.000000022174184,True
update_clipping,15,3,update_clipping,0.0,3.354743735568828,1.0000000534941451,True
update_clipping,15,4,update_clipping,0.0,2.7777217710402744,0.9999999997638405,True
update_clipping,16,0,update_clipping,0.0,2.5318569343949227,0.9999999777500077,True
update_clipping,16,1,update_clipping,0.0,2.6596447050115084,0.9999999398854396,True
update_clipping,16,2,update_clipping,0.0,2.5506295244690937,0.9999999929142547,True
update_clipping,16,3,update_clipping,0.0,2.9959826260470144,1.0000000262766313,True
update_clipping,16,4,update_clipping,0.0,2.5872761147023784,1.0000000260891535,True
update_clipping,17,0,update_clipping,0.0,2.3107559763429544,1.000000007092467,True
update_clipping,17,1,update_clipping,0.0,2.3961843951093713,1.0000000111183454,True
update_clipping,17,2,update_clipping,0.0,2.2548122532948915,0.9999999701377358,True
update_clipping,17,3,update_clipping,0.0,2.87700940069646,0.9999999244319138,True
update_clipping,17,4,update_clipping,0.0,2.2878785502197423,1.0000000218469862,True
update_clipping,18,0,update_clipping,0.0,2.246185335694663,1.0000000316964015,True
update_clipping,18,1,update_clipping,0.0,2.2547087934463623,0.9999999937752655,True
update_clipping,18,2,update_clipping,0.0,2.0614797667926217,0.9999999685043117,True
update_clipping,18,3,update_clipping,0.0,2.6103143417542665,1.0000000193384009,True
update_clipping,18,4,update_clipping,0.0,2.0161760392986947,0.9999999998806146,True
update_clipping,19,0,update_clipping,0.0,2.024496365340625,0.9999999914642217,True
update_clipping,19,1,update_clipping,0.0,2.089116229174846,1.0000000155257494,True
update_clipping,19,2,update_clipping,0.0,1.861945152285035,1.0000000588638596,True
update_clipping,19,3,update_clipping,0.0,2.522697606033107,0.9999999923147911,True
update_clipping,19,4,update_clipping,0.0,2.039531766270036,0.9999999696279427,True
update_clipping,20,0,update_clipping,0.0,2.13259146198115,1.0000000820395594,True
update_clipping,20,1,update_clipping,0.0,2.154499264303381,0.9999999918533184,True
update_clipping,20,2,update_clipping,0.0,1.8930119942205337,0.9999999899152954,True
update_clipping,20,3,update_clipping,0.0,2.182206573422668,0.9999999485191524,True
update_clipping,20,4,update_clipping,0.0,1.9502582685742342,0.99999999102584,True
update_clipping,21,0,update_clipping,0.0,2.0823259180256644,0.9999999895330518,True
update_clipping,21,1,update_clipping,0.0,2.0798382606663317,1.000000040898878,True
update_clipping,21,2,update_clipping,0.0,1.9434090713430863,0.999999956423223,True
update_clipping,21,3,update_clipping,0.0,2.2780734177231197,0.999999925033589,True
update_clipping,21,4,update_clipping,0.0,2.062633342688709,1.0000000329055356,True
update_clipping,22,0,update_clipping,0.0,1.8781171835875432,0.9999999490621883,True
update_clipping,22,1,update_clipping,0.0,2.0143812028223307,0.9999999647744844,True
update_clipping,22,2,update_clipping,0.0,1.995567193362319,1.0000000335234625,True
update_clipping,22,3,update_clipping,0.0,2.272416848312655,1.000000012945112,True
update_clipping,22,4,update_clipping,0.0,1.9841441122978156,0.9999999914822126,True
update_clipping,23,0,update_clipping,0.0,1.8395086353392525,1.000000077534143,True
update_clipping,23,1,update_clipping,0.0,1.9094859286885257,1.0000000583447939,True
update_clipping,23,2,update_clipping,0.0,1.9084468290161138,0.9999999532403752,True
update_clipping,23,3,update_clipping,0.0,2.2368842956590824,1.000000009593279,True
update_clipping,23,4,update_clipping,0.0,2.087061214236084,0.9999999979986072,True
update_clipping,24,0,update_clipping,0.0,2.084767233484373,1.0000000434306449,True
update_clipping,24,1,update_clipping,0.0,1.8455850769811102,0.9999999621691693,True
update_clipping,24,2,update_clipping,0.0,2.0356218573216958,0.9999999529004515,True
