experiment,round,train_loss,drift_injected,drift_detected,drift_client_id,drift_client_metric,mean_client_auprc,mean_client_f1,mean_client_rmse,client_0_auprc,client_0_f1,client_0_rmse,client_1_auprc,client_1_f1,client_1_rmse,client_2_auprc,client_2_f1,client_2_rmse,client_3_auprc,client_3_f1,client_3_rmse,client_4_auprc,client_4_f1,client_4_rmse
rq4_concept_drift,16,1340.6955322117644,True,False,0,0.9731303432996424,0.9555170908770695,0.8334056936596024,35.30693590909908,0.9731303432996424,0.8035190615835777,24.641755730634966,0.9547241036360106,0.8855721393034826,36.122278025154536,0.9459913226083148,0.8484848484848485,36.24754840847861,0.9473614243662656,0.7777777777777778,38.70223240290862,0.9563782604751137,0.8516746411483254,40.82086497831869
rq4_concept_drift,17,1114.942273644101,True,False,0,0.9737000329458836,0.954065834664345,0.8284483972986785,31.98647616536283,0.9737000329458836,0.7747747747747747,22.120954757973195,0.9548396652128123,0.8923076923076924,32.75057959589704,0.9421281978859234,0.841025641025641,32.95698842336023,0.9432878555969131,0.7894736842105263,35.05575567377453,0.9563734216801931,0.8446601941747572,37.04810237580917
rq4_concept_drift,18,910.4083018278479,True,False,0,0.9726610133318557,0.9537279541360846,0.8309166626122071,28.86038681336435,0.9726610133318557,0.7636363636363637,20.033428484309358,0.9556092242465457,0.8854166666666666,29.583954911126973,0.9417934546974099,0.8333333333333334,29.778920709997934,0.9420364428604274,0.8108108108108109,31.521891419644778,0.9565396355441844,0.8613861386138614,33.38373854174271
rq4_concept_drift,19,744.7434631994062,True,False,0,0.9730943079809714,0.9509603272285402,0.8316886329881672,25.967375552986887,0.9730943079809714,0.7636363636363637,18.231592379530632,0.9523739750941269,0.8865979381443299,26.64860927825022,0.9375310915950337,0.8290155440414507,26.67776232988231,0.9383590602745796,0.8035714285714286,28.30029896285053,0.953443201197989,0.8756218905472637,29.978614814420734
rq4_concept_drift,20,609.4679381972117,True,False,0,0.9720644983192959,0.9513710636723399,0.8288497516688162,23.42648449056296,0.9720644983192959,0.7446153846153846,16.77912397787333,0.9563664157493389,0.8829787234042553,24.240787604601593,0.9331272941357964,0.8210526315789474,23.826148739767643,0.9393567074111674,0.821917808219178,25.39060456729947,0.955940402746101,0.8736842105263158,26.895757563272756
rq4_concept_drift,21,515.1949547914758,True,False,0,0.9751435702274981,0.9551760526860903,0.8266112904166736,21.49026361074651,0.9751435702274981,0.7747747747747747,15.638582475429809,0.9566057588551388,0.882051282051282,22.251539541409052,0.9436121756700646,0.8247422680412371,21.476573157281823,0.9437105099962473,0.7929515418502202,23.553446277412753,0.956808248681503,0.8585365853658536,24.531176602199114
rq4_concept_drift,22,420.6034693139083,True,False,0,0.9759919585070307,0.9608805198275819,0.84156454711879,19.840819583042435,0.9759919585070307,0.7673716012084593,15.557258427978944,0.9650566272309345,0.8911917098445595,20.564523521967313,0.9473420494684487,0.845360824742268,19.230373930169446,0.9534101308250137,0.8161434977578476,21.600680220454358,0.9626018331064817,0.8877551020408163,22.25126181464211
rq4_concept_drift,23,364.7725652536427,True,False,0,0.9758160189878503,0.9655461480147409,0.840400439507761,18.555773789814786,0.9758160189878503,0.7169811320754716,15.808773762719845,0.9720492086325009,0.9021739130434783,19.09165291266055,0.947728152487396,0.8586956521739131,17.34283499838622,0.9624380186770426,0.8504672897196262,20.056155904071883,0.969699341288915,0.8736842105263158,20.479451371235434
rq4_concept_drift,24,316.6776665511332,True,False,0,0.9806134888431348,0.9716226363058589,0.8444493857271732,17.34259306462912,0.9806134888431348,0.8,15.131399771111829,0.9735963726401535,0.8923076923076924,17.302805696214055,0.9623392312113991,0.8629441624365483,15.439855727870677,0.9714397119646876,0.8,19.664756983912312,0.9701243768699189,0.8669950738916257,19.17414714403673
rq4_concept_drift,25,292.75243154017784,True,False,0,0.9823733338198529,0.9754126797512133,0.8567655393157952,16.498013795195273,0.9823733338198529,0.7784431137724551,15.564664759078495,0.9791125699736511,0.9157894736842105,16.19418373719597,0.9646982704962886,0.8645833333333334,14.006659967226305,0.9762112950752301,0.8545454545454545,18.68706887044488,0.9746679293910433,0.8704663212435233,18.037491642030723
rq4_concept_drift,26,275.2810528278741,True,False,0,0.9827028601500245,0.9739730527093402,0.8479051391912525,15.89568253945541,0.9827028601500245,0.7446153846153846,15.768951639707367,0.9783369679829872,0.9032258064516129,15.806106662062609,0.9611977762020999,0.8556149732620321,13.502520855677572,0.975776885649984,0.8623853211009175,17.27485789614581,0.9718507735616049,0.8736842105263158,17.125975643683688
rq4_concept_drift,27,243.62009207654592,True,False,0,0.9842146819303559,0.9808422989569028,0.8626403450017186,15.309436483315006,0.9842146819303559,0.7329192546583851,16.009155514977497,0.9863389962597143,0.9197860962566845,15.128809425522851,0.973818237389833,0.8924731182795699,12.820857006832595,0.9812103854999339,0.8930232558139535,16.573298550786912,0.9786291937046773,0.875,16.015061918455174
rq4_concept_drift,28,228.6746455192178,True,False,0,0.9854886167963075,0.9833938022340206,0.8663675154569995,14.813972479480089,0.9854886167963075,0.7522935779816514,15.637649664707698,0.9876244217336175,0.9346733668341709,13.884172037046245,0.9775783159505336,0.8844221105527639,12.485713882171934,0.9853495441906732,0.8715596330275229,16.511377284587265,0.9809281124989715,0.8888888888888888,15.550949528887296
rq4_concept_drift,29,206.88788068646858,True,False,0,0.9863174005086824,0.9856783799439366,0.8785141497963702,14.319953974195332,0.9863174005086824,0.7329192546583851,16.280510532331576,0.9904320387117803,0.9528795811518325,13.13002194195764,0.9813090239550245,0.9157894736842105,12.245643931132651,0.9879244430148221,0.8930232558139535,15.37314848877769,0.9824089935293743,0.8979591836734694,14.570444976777102
rq4_concept_drift,30,204.99105487336473,True,False,0,0.9861769144435584,0.984807592567947,0.8698741517276488,14.346535418421325,0.9861769144435584,0.7289719626168224,15.47143482066729,0.9897460744895621,0.9361702127659575,13.162554392471304,0.9773771793217996,0.8994708994708994,12.444338964590486,0.9892146513037701,0.8878504672897196,15.732091986182853,0.9815231432810451,0.8969072164948454,14.922256928194699
