experiment,round,defense,noise_multiplier,train_loss,test_rmse,test_mae,test_nasa_score,test_auroc,test_auprc,test_precision,test_recall,test_f1,test_tn,test_fp,test_fn,test_tp
clipping_noise_0.3,14,clipping_noise,0.3,5742.186086450429,93.01670506890147,88.1934814453125,26329478.543219093,0.9863376865124732,0.7986149287892167,1.0,0.009036144578313253,0.01791044776119403,9864,0,329,3
clipping_noise_0.3,15,clipping_noise,0.3,5567.732730250563,91.76250553398702,86.88512420654297,23778527.441864204,0.986738315793588,0.7871945183329268,1.0,0.07530120481927711,0.1400560224089636,9864,0,307,25
clipping_noise_0.3,16,clipping_noise,0.3,5399.877260395967,90.40020881561198,85.4630355834961,21283443.14272622,0.9861294325721377,0.7804839776410403,1.0,0.12951807228915663,0.22933333333333333,9864,0,289,43
clipping_noise_0.3,17,clipping_noise,0.3,5213.34029258849,88.85772786190996,83.8556137084961,18767866.869721636,0.9857539952999346,0.7786531060077214,0.9333333333333333,0.21084337349397592,0.343980343980344,9859,5,262,70
clipping_noise_0.3,18,clipping_noise,0.3,5010.943112772076,87.11672754844503,82.0445785522461,16278706.2757409,0.9856730755137338,0.781934453578421,0.9081632653061225,0.2680722891566265,0.413953488372093,9855,9,243,89
clipping_noise_0.3,19,clipping_noise,0.3,4795.618844093127,85.23866424817145,80.09928894042969,13957654.102302164,0.9853197766736045,0.7831235191226167,0.9042553191489362,0.2560240963855422,0.39906103286384975,9855,9,247,85
clipping_noise_0.3,20,clipping_noise,0.3,4562.318299419059,83.20598439922306,78.0052261352539,11810623.032653878,0.9781702845445039,0.7815634377852508,0.90625,0.2620481927710843,0.40654205607476634,9855,9,245,87
clipping_noise_0.3,21,clipping_noise,0.3,4320.350466634212,81.16605940427779,75.90067291259766,9982363.511235535,0.9844606528302993,0.7926367353910727,0.8961038961038961,0.41566265060240964,0.5679012345679012,9848,16,194,138
clipping_noise_0.3,22,clipping_noise,0.3,4087.3675371259874,79.03856789469145,73.72113800048828,8371910.256643254,0.9845968423572636,0.7982687172855464,0.8947368421052632,0.4608433734939759,0.6083499005964215,9846,18,179,153
clipping_noise_0.3,23,clipping_noise,0.3,3849.4942666366164,76.97140804383145,71.61997985839844,7050569.778702944,0.9871468843744808,0.7973930820379928,0.8450704225352113,0.5421686746987951,0.6605504587155964,9831,33,152,180
clipping_noise_0.3,24,clipping_noise,0.3,3624.8909603941947,74.71150895486251,69.33710479736328,5839216.406104095,0.9886761156548334,0.7986992173317433,0.8155737704918032,0.5993975903614458,0.6909722222222222,9819,45,133,199
clipping_noise_0.3,25,clipping_noise,0.3,3396.7075405529567,72.46526309528414,67.06928253173828,4838448.714724018,0.989234004143093,0.8040045802491403,0.8045977011494253,0.6325301204819277,0.7082630691399663,9813,51,122,210
clipping_noise_0.3,26,clipping_noise,0.3,3167.400642606853,70.07279278766117,64.67220306396484,3957145.127792039,0.9878823383558565,0.8093770915699168,0.8122605363984674,0.6385542168674698,0.715008431703204,9815,49,120,212
